epoch,accuracy,dice_coef,fps,iou,loss,lr,mcc,precision,recall,val_accuracy,val_dice_coef,val_fps,val_iou,val_loss,val_mcc,val_precision,val_recall
0,0.8058642148971558,0.175668403506279,0.1403244286775589,0.09693698585033417,0.49444371461868286,1e-04,nan,0.1950429528951645,0.3242320716381073,0.8847971558570862,0.14105701446533203,0.030540764331817627,0.07622533291578293,0.6631772518157959,nan,0.01770676299929619,0.005733064375817776
1,0.8965129256248474,0.195825457572937,0.034263793379068375,0.10924606770277023,0.3850303888320923,1e-04,nan,0.4344377815723419,0.2492164820432663,0.9117816686630249,0.1305619776248932,0.0006695784395560622,0.0701160579919815,0.5353082418441772,nan,0.0041135335341095924,2.8551115974551067e-05
2,0.908756673336029,0.21040122210979462,0.028408529236912727,0.11830703914165497,0.3476143777370453,1e-04,nan,0.545027494430542,0.32353365421295166,0.9123735427856445,0.1218336969614029,1.5841116692172363e-05,0.06509554386138916,0.4376887083053589,nan,0.0,0.0
3,0.9164327383041382,0.22765037417411804,0.030368568375706673,0.1292458474636078,0.32304009795188904,1e-04,nan,0.5949379205703735,0.42547789216041565,0.9123039841651917,0.11444626748561859,9.019280696520582e-05,0.06088907644152641,0.38541367650032043,nan,0.030985916033387184,3.140622720820829e-05
4,0.9235337376594543,0.24617072939872742,0.03035559691488743,0.14125759899616241,0.30420544743537903,1e-04,nan,0.633311927318573,0.502470076084137,0.9112005829811096,0.11608503758907318,0.0013729591155424714,0.06180785968899727,0.36179491877555847,nan,0.03169571980834007,0.00045681785559281707
5,0.9300675988197327,0.26500722765922546,0.029527448117733,0.15375900268554688,0.2880726158618927,1e-04,nan,0.6657613515853882,0.5644975900650024,0.9072850942611694,0.13677836954593658,0.011221349239349365,0.07370316237211227,0.34440097212791443,nan,0.3378376066684723,0.05903228744864464
6,0.9368233680725098,0.2867744266986847,0.02703119069337845,0.16853919625282288,0.2725556790828705,1e-04,nan,0.7023183703422546,0.6125887632369995,0.8942155838012695,0.19220085442066193,0.052271768450737,0.10726353526115417,0.3316454589366913,nan,0.38941243290901184,0.3463907241821289
7,0.9426087737083435,0.3126852512359619,0.024432765319943428,0.18664906919002533,0.2576073408126831,1e-04,nan,0.7344520092010498,0.6490835547447205,0.8481440544128418,0.22173258662223816,0.11907465755939484,0.12590734660625458,0.3587622344493866,nan,0.29748454689979553,0.5248152017593384
8,0.946061372756958,0.34140852093696594,0.022524740546941757,0.20745699107646942,0.24435201287269592,1e-04,nan,0.7549330592155457,0.6679799556732178,0.90618896484375,0.22329193353652954,0.04095049947500229,0.1271674782037735,0.3000451326370239,nan,0.46253371238708496,0.3722465932369232
9,0.9507635235786438,0.3730946183204651,0.019044890999794006,0.231179341673851,0.22965192794799805,1e-04,nan,0.7885774374008179,0.6837370991706848,0.8707915544509888,0.24879376590251923,0.09019704163074493,0.14364543557167053,0.33666813373565674,nan,0.3382304012775421,0.4803040027618408
10,0.9547000527381897,0.40008601546287537,0.016736552119255066,0.25218817591667175,0.21620379388332367,1e-04,nan,0.8135098218917847,0.7032148241996765,0.8647185564041138,0.2855728268623352,0.10985980927944183,0.1687636375427246,0.35295847058296204,nan,0.3504345417022705,0.6138290166854858
